City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
2,victoria,HK,overcast clouds,72.32,22.2855,114.1577,Mini Hotel Central
9,kapaa,US,broken clouds,73.72,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,belmonte,BR,moderate rain,75.63,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
11,vallenar,CL,clear sky,73.85,-28.5708,-70.7581,Humacao Bed & Breakfast
13,huarmey,PE,overcast clouds,72.05,-10.0681,-78.1522,Hotel Miramar
18,butaritari,KI,light rain,79.86,3.0707,172.7902,Isles Sunset Lodge
20,hilo,US,heavy intensity rain,73.27,19.7297,-155.09,Hilo Hawaiian Hotel
21,yulara,AU,overcast clouds,73.74,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
22,mount isa,AU,light rain,78.57,-20.7333,139.5,ibis Styles Mt Isa Verona
25,vaini,TO,scattered clouds,77.16,-21.2,-175.2,Keleti Beach Resort
27,saint-philippe,RE,light rain,78.39,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,coolidge,US,clear sky,77.67,32.9778,-111.5176,Grande Vista Motel
37,souillac,MU,broken clouds,77.52,-20.5167,57.5167,Shanti Maurice Resort & Spa
40,rikitea,PF,light rain,77.58,-23.1203,-134.9692,People ThankYou
49,ponta do sol,PT,overcast clouds,74.03,32.6667,-17.1,Hotel do Campo
54,cabra,ES,clear sky,76.95,37.4725,-4.4421,MS Fuente Las Piedras
56,pokhara,NP,broken clouds,73.78,28.2333,83.9833,OYO 170 Hotel View Point
57,cape town,ZA,clear sky,73.81,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
58,daru,PG,overcast clouds,79.3,-9.0763,143.2092,Daru Lodge
59,nola,IT,overcast clouds,73.81,40.922,14.5329,Palazzo Giordano Bruno
61,phan thiet,VN,scattered clouds,78.85,10.9333,108.1,Hotel Saigon-PT
69,avarua,CK,scattered clouds,75.25,-21.2078,-159.775,Paradise Inn
85,lata,PT,few clouds,77.49,40.1629,-8.3327,Casa Maquia
92,grand gaube,MU,few clouds,78.39,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
94,atuona,PF,few clouds,78.73,-9.8,-139.0333,Villa Enata
105,carnarvon,AU,broken clouds,78.3,-24.8667,113.6333,Hospitality Carnarvon
111,bambous virieux,MU,scattered clouds,79.05,-20.3428,57.7575,Casa Tia Villa
115,praia,CV,few clouds,79.34,14.9215,-23.5087,LT Aparthotel
123,mahebourg,MU,broken clouds,78.26,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,isangel,VU,scattered clouds,79.3,-19.55,169.2667,Tanna Lodge
129,vao,NC,clear sky,76.53,-22.6667,167.4833,Hotel Kou-Bugny
137,lujan,AR,clear sky,72.95,-34.5703,-59.105,Hotel Biarritz
149,sechura,PE,broken clouds,76.69,-5.5569,-80.8222,Hospedaje Costa Bella
165,general pico,AR,broken clouds,72.48,-35.6566,-63.7568,Euskadi Hotel
166,asfi,MA,broken clouds,74.35,32.2994,-9.2372,Hôtel Abda
177,kahului,US,light rain,72.84,20.8947,-156.47,Maui Seaside Hotel
193,santa isabel do rio negro,BR,overcast clouds,79.9,-0.4139,-65.0192,Hotel GSA
194,nsanje,MW,clear sky,79.25,-16.92,35.262,Nsanje Discovery Lodge
197,eufaula,US,overcast clouds,72.61,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
199,puerto ayora,EC,broken clouds,78.8,-0.7393,-90.3518,Finch Bay Galapagos Hotel
201,mumford,GH,moderate rain,79.68,5.2618,-0.759,Spanish Villa
202,bengkulu,ID,overcast clouds,78.21,-3.8004,102.2655,Grage Hotel Bengkulu
212,katobu,ID,few clouds,75.9,-4.9408,122.5276,La Ode Husein
220,dingle,PH,scattered clouds,76.55,10.9995,122.6711,SEGAYA PROPERTY
