City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,bluff,NZ,-46.6,168.3333,48.9,64,74,5.88,broken clouds
1,jamestown,US,42.097,-79.2353,42.03,71,100,7.0,overcast clouds
2,victoria,HK,22.2855,114.1577,72.32,76,98,15.01,overcast clouds
3,port alfred,ZA,-33.5906,26.891,62.19,79,100,11.52,overcast clouds
4,zhenlai,CN,45.8495,123.2973,47.41,19,100,7.02,overcast clouds
5,santa rosa,PH,14.3122,121.1114,84.18,75,36,7.63,scattered clouds
6,san cristobal,VE,7.7669,-72.225,83.61,47,94,8.9,overcast clouds
7,hermanus,ZA,-34.4187,19.2345,64.8,61,1,21.97,clear sky
8,hamilton,US,39.1834,-84.5333,59.67,77,99,5.99,overcast clouds
9,kapaa,US,22.0752,-159.319,73.72,90,75,13.8,broken clouds
10,belmonte,BR,-15.8631,-38.8828,75.63,92,100,11.45,moderate rain
11,vallenar,CL,-28.5708,-70.7581,73.85,32,0,4.29,clear sky
12,new norfolk,AU,-42.7826,147.0587,52.92,76,90,2.35,light rain
13,huarmey,PE,-10.0681,-78.1522,72.05,72,97,12.08,overcast clouds
14,tuktoyaktuk,CA,69.4541,-133.0374,-10.89,97,33,5.03,scattered clouds
15,mataura,NZ,-46.1927,168.8643,39.94,97,80,1.48,broken clouds
16,qaanaaq,GL,77.484,-69.3632,-9.15,75,86,8.48,overcast clouds
17,midland,US,31.9974,-102.0779,64.06,36,0,16.11,haze
18,butaritari,KI,3.0707,172.7902,79.86,80,46,12.03,light rain
19,kaitangata,NZ,-46.2817,169.8464,43.16,87,67,4.27,broken clouds
20,hilo,US,19.7297,-155.09,73.27,97,100,1.01,heavy intensity rain
21,yulara,AU,-25.2406,130.9889,73.74,46,90,2.04,overcast clouds
22,mount isa,AU,-20.7333,139.5,78.57,27,75,9.22,light rain
23,busselton,AU,-33.65,115.3333,60.55,73,69,11.65,broken clouds
24,hobart,AU,-42.8794,147.3294,53.28,90,84,9.22,broken clouds
25,vaini,TO,-21.2,-175.2,77.16,88,40,5.75,scattered clouds
26,sapele,NG,5.8941,5.6767,87.55,60,87,7.76,overcast clouds
27,saint-philippe,RE,-21.3585,55.7679,78.39,83,60,13.04,light rain
28,homer,US,59.6425,-151.5483,38.8,63,100,4.41,overcast clouds
29,port elizabeth,ZA,-33.918,25.5701,63.32,71,0,10.36,clear sky
30,clyde river,CA,70.4692,-68.5914,-7.37,77,100,3.44,overcast clouds
31,price,US,39.5994,-110.8107,49.12,35,100,3.8,overcast clouds
32,pokrovskoye,RU,47.4157,38.8971,53.92,71,89,6.76,overcast clouds
33,klaksvik,FO,62.2266,-6.589,47.32,92,95,18.95,overcast clouds
34,airai,TL,-8.9266,125.4092,60.1,95,92,2.33,overcast clouds
35,tasiilaq,GL,65.6145,-37.6368,36.79,96,100,14.18,light rain
36,coolidge,US,32.9778,-111.5176,77.67,9,0,5.75,clear sky
37,souillac,MU,-20.5167,57.5167,77.52,76,69,14.03,broken clouds
38,mackenzie,CA,55.2999,-123.1698,30.16,75,100,3.0,overcast clouds
39,concepcion,CL,-36.827,-73.0498,65.28,49,0,5.01,clear sky
40,rikitea,PF,-23.1203,-134.9692,77.58,73,47,16.98,light rain
41,bredasdorp,ZA,-34.5322,20.0403,61.3,63,39,16.02,scattered clouds
42,zambezi,ZM,-13.5432,23.1047,68.09,94,100,2.06,overcast clouds
43,sturgeon bay,US,44.8342,-87.377,30.16,46,90,14.94,overcast clouds
44,mayumba,GA,-3.432,10.6554,81.63,79,52,7.67,broken clouds
45,georgetown,MY,5.4112,100.3354,84.15,83,20,5.99,few clouds
46,barrow,US,71.2906,-156.7887,-1.19,84,6,16.69,clear sky
47,guerrero negro,MX,27.9769,-114.0611,63.82,71,89,14.5,overcast clouds
48,fairbanks,US,64.8378,-147.7164,21.54,57,0,4.61,clear sky
49,ponta do sol,PT,32.6667,-17.1,74.03,43,100,8.95,overcast clouds
50,can,TR,40.0333,27.0524,63.48,73,100,4.47,overcast clouds
51,kesova gora,RU,57.5836,37.2922,34.03,70,39,15.17,scattered clouds
52,bukachacha,RU,52.9833,116.9167,22.93,67,23,4.16,few clouds
53,bow island,CA,49.8668,-111.3684,31.62,53,13,11.65,few clouds
54,cabra,ES,37.4725,-4.4421,76.95,31,0,6.78,clear sky
55,butembo,CD,0.15,29.2833,59.5,99,100,0.51,moderate rain
56,pokhara,NP,28.2333,83.9833,73.78,21,51,8.59,broken clouds
57,cape town,ZA,-33.9258,18.4232,73.81,49,0,16.11,clear sky
58,daru,PG,-9.0763,143.2092,79.3,86,87,7.9,overcast clouds
59,nola,IT,40.922,14.5329,73.81,39,92,11.99,overcast clouds
60,ushuaia,AR,-54.8,-68.3,44.22,65,75,17.27,broken clouds
61,phan thiet,VN,10.9333,108.1,78.85,84,30,4.76,scattered clouds
62,deputatskiy,RU,69.3,139.9,-2.83,97,100,1.9,overcast clouds
63,albany,US,42.6001,-73.9662,58.37,84,100,7.38,overcast clouds
64,kodiak,US,57.79,-152.4072,36.91,87,100,18.41,light rain
65,tommot,RU,58.9564,126.2925,21.83,97,99,2.04,light snow
66,thompson,CA,55.7435,-97.8558,12.36,62,75,5.75,broken clouds
67,kavieng,PG,-2.5744,150.7967,81.54,80,95,8.37,light rain
