City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
5,santa rosa,PH,scattered clouds,84.18,14.3122,121.1114,Erlyn’s Sta Rosa City Home
6,san cristobal,VE,overcast clouds,83.61,7.7669,-72.225,Pirineos
10,belmonte,BR,moderate rain,75.63,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
18,butaritari,KI,light rain,79.86,3.0707,172.7902,Isles Sunset Lodge
22,mount isa,AU,light rain,78.57,-20.7333,139.5,ibis Styles Mt Isa Verona
25,vaini,TO,scattered clouds,77.16,-21.2,-175.2,Keleti Beach Resort
26,sapele,NG,overcast clouds,87.55,5.8941,5.6767,Movig Hotel & Suites
27,saint-philippe,RE,light rain,78.39,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
36,coolidge,US,clear sky,77.67,32.9778,-111.5176,Grande Vista Motel
37,souillac,MU,broken clouds,77.52,-20.5167,57.5167,Shanti Maurice Resort & Spa
40,rikitea,PF,light rain,77.58,-23.1203,-134.9692,People ThankYou
44,mayumba,GA,broken clouds,81.63,-3.432,10.6554,LIKWALE LODGE
45,georgetown,MY,few clouds,84.15,5.4112,100.3354,Cititel Penang
54,cabra,ES,clear sky,76.95,37.4725,-4.4421,MS Fuente Las Piedras
58,daru,PG,overcast clouds,79.3,-9.0763,143.2092,Daru Lodge
61,phan thiet,VN,scattered clouds,78.85,10.9333,108.1,Hotel Saigon-PT
67,kavieng,PG,light rain,81.54,-2.5744,150.7967,Nusa Island Retreat
69,avarua,CK,scattered clouds,75.25,-21.2078,-159.775,Paradise Inn
74,champerico,GT,scattered clouds,87.01,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
78,roatan,HN,few clouds,84.34,16.3244,-86.5366,Hotel Henry Morgan
81,touros,BR,broken clouds,86.99,-5.1989,-35.4608,INN NEW HORIZON
82,acapulco,MX,scattered clouds,85.48,16.8634,-99.8901,HS Hotsson Smart Acapulco
85,lata,PT,few clouds,77.49,40.1629,-8.3327,Casa Maquia
87,lorengau,PG,broken clouds,80.82,-2.0226,147.2712,Lorengau Harbourside Hotel
89,bonfim,BR,overcast clouds,88.86,3.0833,-59.95,
92,grand gaube,MU,few clouds,78.39,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
94,atuona,PF,few clouds,78.73,-9.8,-139.0333,Villa Enata
102,cabo san lucas,MX,overcast clouds,81.61,22.8909,-109.9124,Hotel Tesoro Los Cabos
105,carnarvon,AU,broken clouds,78.3,-24.8667,113.6333,Hospitality Carnarvon
109,hithadhoo,MV,overcast clouds,83.68,-0.6,73.0833,Scoop Guest House
110,akyab,MM,few clouds,82.29,20.15,92.9,Hotel Memory
111,bambous virieux,MU,scattered clouds,79.05,-20.3428,57.7575,Casa Tia Villa
115,praia,CV,few clouds,79.34,14.9215,-23.5087,LT Aparthotel
116,barra do garcas,BR,few clouds,85.3,-15.89,-52.2567,Pousada Tropical
119,paka,MY,overcast clouds,80.13,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
123,mahebourg,MU,broken clouds,78.26,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,isangel,VU,scattered clouds,79.3,-19.55,169.2667,Tanna Lodge
128,bac lieu,VN,scattered clouds,82.2,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
129,vao,NC,clear sky,76.53,-22.6667,167.4833,Hotel Kou-Bugny
131,vung tau,VN,scattered clouds,81.81,10.346,107.0843,Seaside Resort
136,cayenne,GF,broken clouds,85.08,4.9333,-52.3333,Hôtel Le Dronmi
143,kavaratti,IN,scattered clouds,84.54,10.5669,72.642,Hotels in Lakshadweep Islands
148,limon,CR,broken clouds,81.16,10.0,-83.0333,Hotel Playa Bonita
149,sechura,PE,broken clouds,76.69,-5.5569,-80.8222,Hospedaje Costa Bella
151,hambantota,LK,broken clouds,80.94,6.1241,81.1185,Bungalow 63
174,pemba,MZ,scattered clouds,83.1,-12.974,40.5178,Guesthouse Samotina
178,san patricio,US,overcast clouds,81.07,28.017,-97.5169,"Motel 6 Sinton, TX"
185,pitimbu,BR,broken clouds,85.8,-7.4706,-34.8086,Reserva do Abiaí
193,santa isabel do rio negro,BR,overcast clouds,79.9,-0.4139,-65.0192,Hotel GSA
194,nsanje,MW,clear sky,79.25,-16.92,35.262,Nsanje Discovery Lodge
196,hobyo,SO,scattered clouds,83.62,5.3505,48.5268,Iftin hotel hobyo
198,quirinopolis,BR,clear sky,80.42,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
199,puerto ayora,EC,broken clouds,78.8,-0.7393,-90.3518,Finch Bay Galapagos Hotel
201,mumford,GH,moderate rain,79.68,5.2618,-0.759,Spanish Villa
202,bengkulu,ID,overcast clouds,78.21,-3.8004,102.2655,Grage Hotel Bengkulu
212,katobu,ID,few clouds,75.9,-4.9408,122.5276,La Ode Husein
220,dingle,PH,scattered clouds,76.55,10.9995,122.6711,SEGAYA PROPERTY
222,bosaso,SO,clear sky,83.88,11.2842,49.1816,Red Sea Hotel
223,islamkot,PK,clear sky,81.59,24.6997,70.177,Haji Hotel
225,jardim,BR,clear sky,81.55,-21.4803,-56.1381,Estancia Hotel - Jardim MS
229,naranjito,EC,overcast clouds,85.68,-2.2167,-79.4833,canton marcelino maridueña
231,padang,ID,moderate rain,80.65,-0.9492,100.3543,Mercure Padang
233,chandpur,IN,clear sky,86.63,29.15,78.2667,A.A.S Garments
235,saint-pierre,RE,broken clouds,78.48,-21.3393,55.4781,Lindsey Hôtel
237,puerto guzman,CO,overcast clouds,79.72,0.9703,-76.5858,Hotel Campo Verde
238,amapa,BR,overcast clouds,83.43,1.0,-52.0,
242,ternate,ID,broken clouds,81.14,0.8,127.4,Sahid Bela Ternate Hotel
244,omboue,GA,light rain,81.61,-1.5746,9.2618,Hotel Olako
245,arraial do cabo,BR,scattered clouds,76.96,-22.9661,-42.0278,Pousada Porto Praia
250,caravelas,BR,overcast clouds,78.55,-17.7125,-39.2481,Pousada dos Navegantes
252,takoradi,GH,moderate rain,80.76,4.8845,-1.7554,Raybow International Hotel
255,porto novo,BJ,overcast clouds,86.31,6.4965,2.6036,Tour Eiffel Hotel Benin
263,zorritos,PE,broken clouds,79.16,-3.6805,-80.6782,Hotel Pinamar
266,biak,ID,overcast clouds,76.75,-0.9131,122.8766,Penginapan Kim
267,harlingen,US,overcast clouds,82.36,26.1906,-97.6961,Courtyard by Marriott Harlingen
271,prado,BR,overcast clouds,77.99,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
272,comonfort,MX,broken clouds,82.2,20.7167,-100.7667,El Kiosco Verde
274,muttupet,IN,scattered clouds,86.04,10.4,79.4833,Hotel Star Residency
276,carutapera,BR,light rain,82.94,-1.195,-46.02,Lidera
278,vanimo,PG,broken clouds,78.12,-2.6741,141.3028,Vahmoneh Lodge Vanimo
285,coruripe,BR,few clouds,87.67,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
287,toamasina,MG,clear sky,76.53,-18.1667,49.3833,Hotel H1
304,ouesso,CG,overcast clouds,83.52,1.6136,16.0517,ABENIE Hotel
310,quatre cocos,MU,scattered clouds,78.1,-20.2078,57.7625,Sunrise Attitude Hotel
314,acarau,BR,moderate rain,83.98,-2.8856,-40.12,castelo pizzaria
318,jatai,BR,clear sky,78.17,-17.8814,-51.7144,Hotel Califórnia
319,puro,PH,scattered clouds,79.56,12.4841,123.3827,
322,ixtapa,MX,overcast clouds,88.68,20.7,-105.2,hotel la terminal
325,sao felix do xingu,BR,very heavy rain,87.39,-6.6447,-51.995,Rio Xingu Camping
330,denpasar,ID,scattered clouds,80.26,-8.65,115.2167,OYO 3156 Hotel Warta 2
331,sola,VU,overcast clouds,81.64,-13.8833,167.55,Leumerus Bungalows
334,labuhan,ID,broken clouds,80.65,-6.8844,112.2051,DoubleFAG
336,zihuatanejo,MX,overcast clouds,82.63,17.6333,-101.55,La Casa Que Canta
337,kloulklubed,PW,overcast clouds,75.7,7.0419,134.2556,Storyboard Beach Resort
338,lingao,CN,scattered clouds,75.2,19.9103,109.6859,Lingao Ditai Inn
343,fomboni,KM,moderate rain,82.92,-12.28,43.7425,Auberge les abou
350,auki,SB,overcast clouds,77.14,-8.7676,160.7034,Auki Motel
352,edd,ER,clear sky,86.5,13.9297,41.6925,
362,itarema,BR,overcast clouds,83.95,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
364,cam ranh,VN,few clouds,78.76,11.9214,109.1591,OYO 598 Peony Hotel
366,marsh harbour,BS,scattered clouds,77.2,26.5412,-77.0636,Abaco Beach Resort
369,robertsport,LR,broken clouds,82.42,6.7533,-11.3686,Kwepunha Retreat
370,kinablangan,PH,very heavy rain,77.72,7.6947,126.5503,Morales Eatery and Lodging House
371,trinidad,BO,clear sky,81.59,-14.8333,-64.9,Hotel Piesta
380,bluefields,NI,broken clouds,83.86,12.0137,-83.7635,Nicaraguan Typical House Downtown
387,sao joao da barra,BR,scattered clouds,78.93,-21.6403,-41.0511,Pousada Porto De Canoas
